"Source:","/home/cartogan/Programs/tralala-8088-homebrew-code/trunk/hw/v0.1/tralala8088homebrew.sch"
"Date:","22.08.2021 (нд)  2:05:18"
"Tool:","Eeschema 5.1.10"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","70"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","4.7uF","CP","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","",""
"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C13, C14, C15, C19, C20, C21, ","16","100nF","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"C12, ","1","330nF","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"C16, ","1","220nF","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"C17, C18, ","2","22pF","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"C22, ","1","100uF","CP","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"CON1, ","1","BARREL_JACK","BARREL_JACK","Connector_BarrelJack:BarrelJack_Horizontal","",""
"D1, D6, D7, ","3","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"D2, ","1","1N4002","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","100V 1A General Purpose Rectifier Diode, DO-41",""
"D3, ","1","LED_GREEN","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"D4, ","1","LED_YELLOW","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"D5, ","1","LED_RED","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"P1, ","1","DIL8","DIL8","Package_DIP:DIP-8_W7.62mm_Socket","",""
"P2, ","1","CONN_02X20","CONN_02X20","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","",""
"P3, ","1","CONN_01X02","CONN_01X02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","",""
"P4, P5, ","2","CONN_01X03","CONN_01X03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"P6, ","1","USB_B","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","USB Type B connector",""
"P7, ","1","CONN_01X10","CONN_01X10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","",""
"P8, ","1","CONN_02X03","CONN_02X03","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","",""
"Q1, Q2, Q3, ","3","2N3904","Q_NPN_EBC","Package_TO_SOT_THT:TO-92_Inline","",""
"R1, R5, R7, R9, ","4","10K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R2, R3, ","2","510","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R4, ","1","4.7K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R6, R8, R10, ","3","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"R11, ","1","47K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"SW1, ","1","RESET_8088","SW_PUSH","Button_Switch_THT:SW_PUSH_6mm_H5mm","",""
"SW2, ","1","RESET_PIC","SW_PUSH","Button_Switch_THT:SW_PUSH_6mm_H5mm","",""
"U1, ","1","8284","8284","Package_DIP:DIP-18_W7.62mm","",""
"U2, ","1","8088","8088_Max_Mode","Socket:DIP_Socket-40_W22.1_W22.86_W25.4_W27.94_W28.7_3M_240-3639-00-0602J","",""
"U3, ","1","8288","8288","Package_DIP:DIP-20_W7.62mm","",""
"U4, ","1","74HCT245","74LS245","Package_DIP:DIP-20_W7.62mm","",""
"U5, U6, U7, ","3","74HCT373","74LS373","Package_DIP:DIP-20_W7.62mm","",""
"U8, ","1","SRAM_512Ko","SRAM_512Ko","Package_DIP:DIP-32_W15.24mm","",""
"U9, ","1","SST39SF020","SST39SF020","Socket:DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J","",""
"U10, ","1","74HCT00","74HC00","Package_DIP:DIP-14_W7.62mm","",""
"U11, ","1","8259A","8259A","Package_DIP:DIP-28_W15.24mm","",""
"U12, ","1","74HCT138","74LS138","Package_DIP:DIP-16_W7.62mm","",""
"U13, ","1","82C55A","8255A","Package_DIP:DIP-40_W15.24mm","",""
"U14, ","1","7805","7805","Package_TO_SOT_THT:TO-220-3_Vertical","",""
"U15, ","1","PIC18(L)F4553-I/P","PIC18(L)F4553-I_P","Package_DIP:DIP-40_W15.24mm","",""
"Y1, ","1","20.000 MHz","Crystal","Crystal:Crystal_HC49-U_Vertical","",""
